1	John	31	PG
2	Karl	30	PF
3	Mark	33	C
4	Kobe	15	SG
5	Derrick	18	PG
6	Jeff	29	SG
7	David	32	C
8	Reggie	33	SG
9	Dennis	30	PF
10	Charles	31	PF
11	Magic	33	PG
12	James	20	SF
13	Clay	18	SG
14	John	31	PG
15	Karl	30	PF
16	Mark	33	C
17	Kobe	15	SG
18	Derrick	18	PG
19	Jeff	29	SG
20	David	32	C
21	Reggie	33	SG
22	Dennis	30	PF
23	Charles	31	PF
24	Magic	33	PG
25	James	20	SF
26	Clay	18	SG
27	John	31	PG
28	Karl	30	PF
29	Mark	33	C
30	Kobe	15	SG
31	Derrick	18	PG
32	Jeff	29	SG
33	David	32	C
34	Reggie	33	SG
35	Dennis	30	PF
36	Charles	31	PF
37	Magic	33	PG
38	James	20	SF
39	Clay	18	SG
40	John	31	PG
41	Karl	30	PF
42	Mark	33	C
43	Kobe	15	SG
44	Derrick	18	PG
45	Jeff	29	SG
46	David	32	C
47	Reggie	33	SG
48	Dennis	30	PF
49	Charles	31	PF
50	Magic	33	PG
51	James	20	SF
52	Clay	18	SG
53	John	31	PG
54	Karl	30	PF
55	Mark	33	C
56	Kobe	15	SG
57	Derrick	18	PG
58	Jeff	29	SG
59	David	32	C
60	Reggie	33	SG
61	Dennis	30	PF
62	Charles	31	PF
63	Magic	33	PG
64	James	20	SF
65	Clay	18	SG
66	John	31	PG
67	Karl	30	PF
68	Mark	33	C
69	Kobe	15	SG
70	Derrick	18	PG
71	Jeff	29	SG
72	David	32	C
73	Reggie	33	SG
74	Dennis	30	PF
75	Charles	31	PF
76	Magic	33	PG
77	James	20	SF
78	Clay	18	SG
79	John	31	PG
80	Karl	30	PF
81	Mark	33	C
82	Kobe	15	SG
83	Derrick	18	PG
84	Jeff	29	SG
85	David	32	C
86	Reggie	33	SG
87	Dennis	30	PF
88	Charles	31	PF
89	Magic	33	PG
90	James	20	SF
91	Clay	18	SG
92	John	31	PG
93	Karl	30	PF
94	Mark	33	C
95	Kobe	15	SG
96	Derrick	18	PG
97	Jeff	29	SG
98	David	32	C
99	Reggie	33	SG
100	Dennis	30	PF
101	Charles	31	PF
102	Magic	33	PG
103	James	20	SF
104	Clay	18	SG
105	John	31	PG
106	Karl	30	PF
107	Mark	33	C
108	Kobe	15	SG
109	Derrick	18	PG
110	Jeff	29	SG
111	David	32	C
112	Reggie	33	SG
113	Dennis	30	PF
114	Charles	31	PF
115	Magic	33	PG
116	James	20	SF
117	Clay	18	SG
118	John	31	PG
119	Karl	30	PF
120	Mark	33	C
121	Kobe	15	SG
122	Derrick	18	PG
123	Jeff	29	SG
124	David	32	C
125	Reggie	33	SG
126	Dennis	30	PF
127	Charles	31	PF
128	Magic	33	PG
129	James	20	SF
130	Clay	18	SG
131	John	31	PG
132	Karl	30	PF
133	Mark	33	C
134	Kobe	15	SG
135	Derrick	18	PG
136	Jeff	29	SG
137	David	32	C
138	Reggie	33	SG
139	Dennis	30	PF
140	Charles	31	PF
141	Magic	33	PG
142	James	20	SF
143	Clay	18	SG
144	John	31	PG
145	Karl	30	PF
146	Mark	33	C
147	Kobe	15	SG
148	Derrick	18	PG
149	Jeff	29	SG
150	David	32	C
151	Reggie	33	SG
152	Dennis	30	PF
153	Charles	31	PF
154	Magic	33	PG
155	James	20	SF
156	Clay	18	SG
157	John	31	PG
158	Karl	30	PF
159	Mark	33	C
160	Kobe	15	SG
161	Derrick	18	PG
162	Jeff	29	SG
163	David	32	C
164	Reggie	33	SG
165	Dennis	30	PF
166	Charles	31	PF
167	Magic	33	PG
168	James	20	SF
169	Clay	18	SG
170	John	31	PG
